Field.Notebook,Image,ID,Field.Number,Species,Genus,Species.Name,Sub.Species,Sex,SVL ,Total,Stream.Distance,Habitat,Development ,Larval.Period,Microhabitat,Date.Collected,Month.Collected,Time.Collected,Elevation,Elevation.Range,Site.Description,Date Preserved,Notes,Location
267,22,120555,CD 5033,P.j.metcalfi,Plethodon,jordani,metcalfi,juvenile,19.5,33.0,,Terrestrial ,direct,,,7/1/57,July,10:0012:00pm,5375,5375 ±25,100ft North of State Police Radio relay station,7/3/57,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,22,120555,CD 5034,P.j.metcalfi,Plethodon,jordani,metcalfi,,31.0,59.5,,Terrestrial ,direct,,,7/1/57,July,10:0012:00pm,5375,5375 ±25,100ft North of State Police Radio relay station,7/3/57,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,22,120555,CD 5036,P.j.metcalfi,Plethodon,jordani,metcalfi,male,41.0,79.0,,Terrestrial ,direct,,,7/1/57,July,10:0012:00pm,5375,5375 ±25,100ft North of State Police Radio relay station,7/3/57,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,22,120555,CD 5035,P.j.metcalfi,Plethodon,jordani,metcalfi,male,42.0,80.0,,Terrestrial ,direct,,,7/1/57,July,10:0012:00pm,5375,5375 ±25,100ft North of State Police Radio relay station,7/3/57,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,22,120555,CD 5037,P.j.metcalfi,Plethodon,jordani,metcalfi,male,45.0,88.5,,Terrestrial ,direct,,,7/1/57,July,10:0012:00pm,5375,5375 ±25,100ft North of State Police Radio relay station,7/3/57,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,22,120555,CD 5039,P.j.metcalfi,Plethodon,jordani,metcalfi,female,65.5,135.0,,Terrestrial ,direct,,,7/1/57,July,10:0012:00pm,5375,5375 ±25,100ft North of State Police Radio relay station,7/3/57,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,22,120555,CD 5038,P.j.metcalfi,Plethodon,jordani,metcalfi,female,68.5,137.5,,Terrestrial ,direct,,,7/1/57,July,10:0012:00pm,5375,5375 ±25,100ft North of State Police Radio relay station,7/3/57,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,16,120593,CD 5006,D.fuscus,Desmognathus,fuscus,,female,33.5,68.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5009,D.fuscus,Desmognathus,fuscus,,female,34.0,63.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5004,D.fuscus,Desmognathus,fuscus,,male,37.0,72.0,0,Semi,biphasic ,14.5,stream,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,CD50045012 all collected under rocks in spring water temp 10C,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5007,D.fuscus,Desmognathus,fuscus,,female,44.0,87.5,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5010,D.fuscus,Desmognathus,fuscus,,female,44.5,80.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5008,D.fuscus,Desmognathus,fuscus,,male,45.5,89.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5012,D.fuscus,Desmognathus,fuscus,,female,46.5,87.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5011,D.fuscus,Desmognathus,fuscus,,female,47.5,87.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,120593,CD 5005,D.fuscus,Desmognathus,fuscus,,female,52.0,88.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,120593,CD 5013,D.fuscus,Desmognathus,fuscus,,female,52.0,95.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,120593,CD 5014,D.fuscus,Desmognathus,fuscus,,male,59.0,110.0,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,120593,CD 5015,D.fuscus,Desmognathus,fuscus,,male,62.5,115.5,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,20,120619,CD 5032,D.o.carolinensis,Desmognathus,ochropheus,carolinensis,female,23.0,43.0,,Terrestrial ,biphasic ,10.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road; CD 50015032 were collected in association with gyronophilus which will be preserved later. The spring in this area flows through a sprice forest and has a muddy bottom,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
